domain,wiki_count,wiki_total_cites,grok_count,grok_total_cites,domain:1,pc1
3aw.com.au,110.0,22382102.0,142.0,44005756.0,3aw.com.au,0.444538330517985
3newsnow.com,62.0,22382102.0,152.0,44005756.0,3newsnow.com,0.626938789780294
4029tv.com,78.0,22382102.0,137.0,44005756.0,4029tv.com,0.649059509496227
4chan.org,28.0,22382102.0,20.0,44005756.0,4chan.org,0.634463601207276
4threvolutionarywar.wordpress.com,1.0,22382102.0,0.0,0.0,4threvolutionarywar.wordpress.com,0.429232920284681
5newsonline.com,125.0,22382102.0,212.0,44005756.0,5newsonline.com,0.661344801389652
5pillarsuk.com,23.0,22382102.0,182.0,44005756.0,5pillarsuk.com,0.518656385101639
604now.com,39.0,22382102.0,48.0,44005756.0,604now.com,0.739599919182725
620ckrm.com,17.0,22382102.0,32.0,44005756.0,620ckrm.com,0.635393615228867
660citynews.com,30.0,22382102.0,6.0,44005756.0,660citynews.com,0.698799850724305
680news.com,38.0,22382102.0,4.0,44005756.0,680news.com,0.879015340541404
6abc.com,776.0,22382102.0,1603.0,44005756.0,6abc.com,0.768853057630876
7news.com.au,1511.0,22382102.0,1239.0,44005756.0,7news.com.au,0.751119253022645
8newsnow.com,366.0,22382102.0,845.0,44005756.0,8newsnow.com,0.688766258975852
8points9seconds.com,13.0,22382102.0,16.0,44005756.0,8points9seconds.com,0.651452433781418
911truth.org,3.0,22382102.0,14.0,44005756.0,911truth.org,0.225856738323516
919thebend.ca,6.0,22382102.0,18.0,44005756.0,919thebend.ca,0.670782890027529
972mag.com,240.0,22382102.0,864.0,44005756.0,972mag.com,0.842682066024823
985fm.ca,15.0,22382102.0,8.0,44005756.0,985fm.ca,0.632635915466391
9and10news.com,52.0,22382102.0,81.0,44005756.0,9and10news.com,0.646703318265475
9news.com,715.0,22382102.0,1031.0,44005756.0,9news.com,0.905833875771101
9news.com.au,1506.0,22382102.0,1662.0,44005756.0,9news.com.au,0.846750673616644
9to5mac.com,1055.0,22382102.0,815.0,44005756.0,9to5mac.com,0.649059509496227
a1apac.org,1.0,22382102.0,1.0,44005756.0,a1apac.org,0.634141830619293
aa.com.tr,3848.0,22382102.0,9331.0,44005756.0,aa.com.tr,0.613601275347775
aaas.org,225.0,22382102.0,802.0,44005756.0,aaas.org,0.944319163489942
aachener-nachrichten.de,12.0,22382102.0,4.0,44005756.0,aachener-nachrichten.de,0.696441085914132
aachener-zeitung.de,34.0,22382102.0,101.0,44005756.0,aachener-zeitung.de,0.716003717833404
aad.org,77.0,22382102.0,168.0,44005756.0,aad.org,0.667035882715417
aafa.org,18.0,22382102.0,24.0,44005756.0,aafa.org,0.686404651622752
aap.org,88.0,22382102.0,203.0,44005756.0,aap.org,0.909650346870873
aapsonline.org,11.0,22382102.0,84.0,44005756.0,aapsonline.org,0.235736088879427
aarp.org,534.0,22382102.0,1045.0,44005756.0,aarp.org,0.773408289471493
aawsat.com,319.0,22382102.0,43.0,44005756.0,aawsat.com,0.560889597448221
abajournal.com,540.0,22382102.0,1063.0,44005756.0,abajournal.com,0.64280305900301
abbynews.com,98.0,22382102.0,144.0,44005756.0,abbynews.com,0.69638636828563
abc-7.com,19.0,22382102.0,6.0,44005756.0,abc-7.com,0.502439157653808
abc.es,1859.0,22382102.0,1514.0,44005756.0,abc.es,0.84166654415002
abc.net.au,40307.0,22382102.0,52326.0,44005756.0,abc.net.au,0.893061784379582
abc10.com,276.0,22382102.0,547.0,44005756.0,abc10.com,0.673588160025729
abc11.com,490.0,22382102.0,705.0,44005756.0,abc11.com,0.81633964127538
abc12.com,140.0,22382102.0,170.0,44005756.0,abc12.com,0.857633305221127
abc13.com,816.0,22382102.0,1265.0,44005756.0,abc13.com,0.507026243676643
abc14news.com,1.0,22382102.0,1.0,44005756.0,abc14news.com,0.295255531559867
abc15.com,443.0,22382102.0,535.0,44005756.0,abc15.com,0.692391064855794
abc17news.com,62.0,22382102.0,89.0,44005756.0,abc17news.com,0.629958582225415
abc22now.com,5.0,22382102.0,0.0,0.0,abc22now.com,0.552228517398797
abc27.com,250.0,22382102.0,506.0,44005756.0,abc27.com,0.617782217161343
abc30.com,282.0,22382102.0,490.0,44005756.0,abc30.com,0.695942130393627
abc3340.com,128.0,22382102.0,369.0,44005756.0,abc3340.com,0.644158544752914
abc4.com,229.0,22382102.0,467.0,44005756.0,abc4.com,0.661613077226097
abc57.com,71.0,22382102.0,105.0,44005756.0,abc57.com,0.57152549470152
abc6.com,111.0,22382102.0,129.0,44005756.0,abc6.com,0.609340999307784
abc6onyourside.com,137.0,22382102.0,333.0,44005756.0,abc6onyourside.com,0.696112529686654
abc7.com,1408.0,22382102.0,3012.0,44005756.0,abc7.com,0.646796242304377
abc7amarillo.com,46.0,22382102.0,88.0,44005756.0,abc7amarillo.com,0.666530729650961
abc7chicago.com,1274.0,22382102.0,2434.0,44005756.0,abc7chicago.com,0.905571729093681
abc7news.com,987.0,22382102.0,1788.0,44005756.0,abc7news.com,0.645959515804345
abc7ny.com,1981.0,22382102.0,2312.0,44005756.0,abc7ny.com,0.853910268587598
abcactionnews.com,253.0,22382102.0,61.0,44005756.0,abcactionnews.com,0.736018435351385
abcfoxmontana.com,4.0,22382102.0,2.0,44005756.0,abcfoxmontana.com,0.719521428429308
abcnews.com,31.0,22382102.0,1.0,44005756.0,abcnews.com,0.668463260544167
abcnews.com.co,3.0,22382102.0,1.0,44005756.0,abcnews.com.co,0.328633442713656
abcnews.go.com,24467.0,22382102.0,34147.0,44005756.0,abcnews.go.com,0.863454390492769
abcnews4.com,217.0,22382102.0,351.0,44005756.0,abcnews4.com,0.709653394668566
abendblatt.de,439.0,22382102.0,210.0,44005756.0,abendblatt.de,0.50812636694345
abendzeitung-muenchen.de,157.0,22382102.0,89.0,44005756.0,abendzeitung-muenchen.de,0.741509677420754
aberdeennews.com,25.0,22382102.0,86.0,44005756.0,aberdeennews.com,0.682329242804467
abilenetimes.com,0.0,0.0,2.0,44005756.0,abilenetimes.com,0.543404632107592
abort73.com,1.0,22382102.0,28.0,44005756.0,abort73.com,0.549227398596091
abovethelaw.com,311.0,22382102.0,610.0,44005756.0,abovethelaw.com,0.818466420850933
abovetopsecret.com,5.0,22382102.0,0.0,0.0,abovetopsecret.com,0.197927783468443
abqjournal.com,1150.0,22382102.0,512.0,44005756.0,abqjournal.com,0.841516581141074
abruzzolive.it,3.0,22382102.0,5.0,44005756.0,abruzzolive.it,0.717026463160687
abs-cbn.com,17568.0,22382102.0,11979.0,44005756.0,abs-cbn.com,0.695390751092603
abtc.ng,14.0,22382102.0,4.0,44005756.0,abtc.ng,0.609340367046077
academia.org,5.0,22382102.0,21.0,44005756.0,academia.org,0.595660031383001
academictimes.com,1.0,22382102.0,0.0,0.0,academictimes.com,0.696441085914132
accesswdun.com,72.0,22382102.0,195.0,44005756.0,accesswdun.com,0.64280305900301
acculturated.com,3.0,22382102.0,0.0,0.0,acculturated.com,0.645144341224856
accuweather.com,469.0,22382102.0,589.0,44005756.0,accuweather.com,0.676772122938108
aceshowbiz.com,2.0,22382102.0,709.0,44005756.0,aceshowbiz.com,0.693461443695609
achgut.com,1.0,22382102.0,6.0,44005756.0,achgut.com,0.402556585010425
ack.net,14.0,22382102.0,27.0,44005756.0,ack.net,0.594889248109946
aclj.org,16.0,22382102.0,125.0,44005756.0,aclj.org,0.588341217524912
aclu.org,1023.0,22382102.0,6190.0,44005756.0,aclu.org,0.712491043296848
acog.org,238.0,22382102.0,1220.0,44005756.0,acog.org,0.502439157653808
acpeds.org,35.0,22382102.0,533.0,44005756.0,acpeds.org,0.199250892452131
acpjournals.org,30.0,22382102.0,715.0,44005756.0,acpjournals.org,0.645959515804345
acrimed.org,14.0,22382102.0,56.0,44005756.0,acrimed.org,0.501725257129702
acsh.org,49.0,22382102.0,170.0,44005756.0,acsh.org,0.78547880764621
actionnews5.com,141.0,22382102.0,785.0,44005756.0,actionnews5.com,0.684870977721662
actionnewsjax.com,99.0,22382102.0,169.0,44005756.0,actionnewsjax.com,0.897097342531927
actionnewsnow.com,16.0,22382102.0,78.0,44005756.0,actionnewsnow.com,0.730015721858017
activistpost.com,6.0,22382102.0,1.0,44005756.0,activistpost.com,0.107217489796571
actu.fr,404.0,22382102.0,905.0,44005756.0,actu.fr,0.649059509496227
actu17.fr,2.0,22382102.0,4.0,44005756.0,actu17.fr,0.501996362820317
acweekly.com,1.0,22382102.0,0.0,0.0,acweekly.com,0.696381911776317
ad.nl,1471.0,22382102.0,1039.0,44005756.0,ad.nl,0.901149667284623
adaa.org,26.0,22382102.0,52.0,44005756.0,adaa.org,0.893084315238923
adage.com,2139.0,22382102.0,2275.0,44005756.0,adage.com,0.739539027697049
adamscountytimes.com,0.0,0.0,1.0,44005756.0,adamscountytimes.com,0.316249767393865
adareporter.com,0.0,0.0,2.0,44005756.0,adareporter.com,0.43082043635827
addictinginfo.com,1.0,22382102.0,0.0,0.0,addictinginfo.com,0.574067929122148
addictinginfo.org,2.0,22382102.0,0.0,0.0,addictinginfo.org,0.393157872437169
additudemag.com,30.0,22382102.0,92.0,44005756.0,additudemag.com,0.866575013707594
adelaidenow.com.au,1771.0,22382102.0,1650.0,44005756.0,adelaidenow.com.au,0.596263449356866
adelnews.com,2.0,22382102.0,8.0,44005756.0,adelnews.com,0.594889248109946
adflegal.org,17.0,22382102.0,541.0,44005756.0,adflegal.org,0.261072142286827
adfontesmedia.com,3.0,22382102.0,682.0,44005756.0,adfontesmedia.com,0.709034129753978
adirondackdailyenterprise.com,81.0,22382102.0,140.0,44005756.0,adirondackdailyenterprise.com,0.541678915519192
adirondackexplorer.org,13.0,22382102.0,228.0,44005756.0,adirondackexplorer.org,0.672490430305278
adl.org,1480.0,22382102.0,4782.0,44005756.0,adl.org,0.841321722825666
adn.com,1114.0,22382102.0,1812.0,44005756.0,adn.com,0.832013374550091
adnkronos.com,437.0,22382102.0,70.0,44005756.0,adnkronos.com,0.699676702091565
adobochronicles.com,1.0,22382102.0,11.0,44005756.0,adobochronicles.com,0.260821742351989
advertiser-tribune.com,14.0,22382102.0,45.0,44005756.0,advertiser-tribune.com,0.602914694779855
advocate-news.com,12.0,22382102.0,32.0,44005756.0,advocate-news.com,0.620112295017723
advocate.com,2793.0,22382102.0,2457.0,44005756.0,advocate.com,0.621482406623711
advocateanddemocrat.com,1.0,22382102.0,13.0,44005756.0,advocateanddemocrat.com,0.695693033701054
adweek.com,4315.0,22382102.0,4870.0,44005756.0,adweek.com,0.897097342531927
ae911truth.org,2.0,22382102.0,114.0,44005756.0,ae911truth.org,0.305468473720623
aei.org,484.0,22382102.0,11349.0,44005756.0,aei.org,0.611614699605884
aeon.co,232.0,22382102.0,1934.0,44005756.0,aeon.co,0.799649853780606
aerzteblatt.de,52.0,22382102.0,51.0,44005756.0,aerzteblatt.de,0.824255782879233
aerztezeitung.de,13.0,22382102.0,14.0,44005756.0,aerztezeitung.de,0.597290562954667
afa.net,34.0,22382102.0,166.0,44005756.0,afa.net,0.310304421079677
affaritaliani.it,169.0,22382102.0,52.0,44005756.0,affaritaliani.it,0.450291233442136
affinitymagazine.us,15.0,22382102.0,12.0,44005756.0,affinitymagazine.us,0.786188346268712
afj.org,25.0,22382102.0,381.0,44005756.0,afj.org,0.567823759041933
aflds.org,0.0,0.0,3.0,44005756.0,aflds.org,0.469434803309658
afn.net,3.0,22382102.0,11.0,44005756.0,afn.net,0.588742908530926
afp.com,276.0,22382102.0,100.0,44005756.0,afp.com,0.954600577620557
afpc.org,12.0,22382102.0,132.0,44005756.0,afpc.org,0.538547240719019
afr.com,3740.0,22382102.0,7742.0,44005756.0,afr.com,0.941320926225632
afr.net,10.0,22382102.0,30.0,44005756.0,afr.net,0.608650006773442
aframnews.com,6.0,22382102.0,15.0,44005756.0,aframnews.com,0.675192171335983
africacheck.org,48.0,22382102.0,401.0,44005756.0,africacheck.org,0.964973906244947
africanarguments.org,121.0,22382102.0,953.0,44005756.0,africanarguments.org,0.84166654415002
africanews.com,1477.0,22382102.0,3027.0,44005756.0,africanews.com,0.780099015904271
africanexponent.com,14.0,22382102.0,53.0,44005756.0,africanexponent.com,0.311370327951595
africanvoiceonline.co.uk,7.0,22382102.0,12.0,44005756.0,africanvoiceonline.co.uk,0.80060245060887
afro.com,97.0,22382102.0,544.0,44005756.0,afro.com,0.57152549470152
afrotech.com,40.0,22382102.0,370.0,44005756.0,afrotech.com,0.570541538679621
aftonbladet.se,2761.0,22382102.0,1500.0,44005756.0,aftonbladet.se,0.613601275347775
agassizharrisonobserver.com,7.0,22382102.0,25.0,44005756.0,agassizharrisonobserver.com,0.717076812957865
agdaily.com,22.0,22382102.0,176.0,44005756.0,agdaily.com,0.871165064239559
agenpress.it,3.0,22382102.0,0.0,0.0,agenpress.it,0.369906179996161
agenzianova.com,119.0,22382102.0,848.0,44005756.0,agenzianova.com,0.58913628928861
ageofautism.com,1.0,22382102.0,6.0,44005756.0,ageofautism.com,0.301139779904117
agerpres.ro,397.0,22382102.0,278.0,44005756.0,agerpres.ro,0.911884947823762
agi.it,250.0,22382102.0,103.0,44005756.0,agi.it,0.64280305900301
agrarheute.com,6.0,22382102.0,8.0,44005756.0,agrarheute.com,0.715840815865667
agrigentonotizie.it,4.0,22382102.0,24.0,44005756.0,agrigentonotizie.it,0.631184784758434
agu.org,197.0,22382102.0,126.0,44005756.0,agu.org,0.709042344576665
agupdate.com,9.0,22382102.0,106.0,44005756.0,agupdate.com,0.487654615781083
agweb.com,22.0,22382102.0,169.0,44005756.0,agweb.com,0.871165064239559
aheadoftheherd.com,1.0,22382102.0,20.0,44005756.0,aheadoftheherd.com,0.550615075962297
ahram.org.eg,79.0,22382102.0,1.0,44005756.0,ahram.org.eg,0.661037542188763
ahtribune.com,6.0,22382102.0,0.0,0.0,ahtribune.com,0.114953478402461
ahvalnews.com,272.0,22382102.0,4.0,44005756.0,ahvalnews.com,0.786188346268712
ahwatukee.com,48.0,22382102.0,55.0,44005756.0,ahwatukee.com,0.437344802363288
aidc.org.za,2.0,22382102.0,34.0,44005756.0,aidc.org.za,0.651663343977498
aier.org,30.0,22382102.0,750.0,44005756.0,aier.org,0.744867571982125
aikenstandard.com,21.0,22382102.0,8.0,44005756.0,aikenstandard.com,0.763496529491881
aikentimes.com,0.0,0.0,3.0,44005756.0,aikentimes.com,0.362113436225179
aim.org,57.0,22382102.0,39.0,44005756.0,aim.org,0.440617250267606
aim4truth.org,0.0,0.0,1.0,44005756.0,aim4truth.org,0.234828184284706
aina.org,216.0,22382102.0,513.0,44005756.0,aina.org,0.461478505163721
aip.org,340.0,22382102.0,455.0,44005756.0,aip.org,0.902425550461335
airalamo.com,47.0,22382102.0,17.0,44005756.0,airalamo.com,0.546185208330786
airc.it,2.0,22382102.0,1.0,44005756.0,airc.it,0.676938427966589
airdrieecho.com,6.0,22382102.0,3.0,44005756.0,airdrieecho.com,0.571076616273191
airdrietoday.com,15.0,22382102.0,6.0,44005756.0,airdrietoday.com,0.561517992738059
airforcetimes.com,419.0,22382102.0,693.0,44005756.0,airforcetimes.com,0.854788060655499
airspacemag.com,506.0,22382102.0,178.0,44005756.0,airspacemag.com,0.950370235542603
airwars.org,31.0,22382102.0,177.0,44005756.0,airwars.org,0.911884947823762
aish.com,286.0,22382102.0,2217.0,44005756.0,aish.com,0.47152305537928
aisnenouvelle.fr,7.0,22382102.0,21.0,44005756.0,aisnenouvelle.fr,0.646298185028468
ajaonline.org,14.0,22382102.0,209.0,44005756.0,ajaonline.org,0.909650346870873
ajc.com,6175.0,22382102.0,5589.0,44005756.0,ajc.com,0.871841207336381
ajph.aphapublications.org,18.0,22382102.0,1881.0,44005756.0,ajph.aphapublications.org,0.890578168666723
akronnewsreporter.com,2.0,22382102.0,2.0,44005756.0,akronnewsreporter.com,0.620112295017723
akronreporter.com,0.0,0.0,2.0,44005756.0,akronreporter.com,0.426349764066976
al-monitor.com,1960.0,22382102.0,1219.0,44005756.0,al-monitor.com,0.817161655737761
al-sura.com,1.0,22382102.0,0.0,0.0,al-sura.com,0.71566391534787
al.com,5327.0,22382102.0,6856.0,44005756.0,al.com,0.886825382677401
alachuachronicle.com,1.0,22382102.0,25.0,44005756.0,alachuachronicle.com,0.63256962400285
alamogordonews.com,44.0,22382102.0,4.0,44005756.0,alamogordonews.com,0.770820901712417
alarabiya.net,604.0,22382102.0,148.0,44005756.0,alarabiya.net,0.683100777274031
alaraby.co.uk,428.0,22382102.0,27.0,44005756.0,alaraby.co.uk,0.806217929524971
alaskahighwaynews.ca,18.0,22382102.0,1.0,44005756.0,alaskahighwaynews.ca,0.636394911227421
alaskapublic.org,268.0,22382102.0,973.0,44005756.0,alaskapublic.org,0.654560634148503
alaskasnewssource.com,113.0,22382102.0,403.0,44005756.0,alaskasnewssource.com,0.713547021491593
albanydailynews.com,2.0,22382102.0,0.0,0.0,albanydailynews.com,0.607037270858319
albanystandard.com,0.0,0.0,3.0,44005756.0,albanystandard.com,0.310772098043417
albawaba.com,713.0,22382102.0,339.0,44005756.0,albawaba.com,0.358778012947977
albernivalleynews.com,18.0,22382102.0,12.0,44005756.0,albernivalleynews.com,0.704671942120245
albertaviews.ca,10.0,22382102.0,136.0,44005756.0,albertaviews.ca,0.817161655737761
albertleatribune.com,31.0,22382102.0,59.0,44005756.0,albertleatribune.com,0.623319836726915
aldergrovestar.com,36.0,22382102.0,32.0,44005756.0,aldergrovestar.com,0.655830966765023
aldf.com,5.0,22382102.0,5.0,44005756.0,aldf.com,0.583688594636377
aldianews.com,129.0,22382102.0,211.0,44005756.0,aldianews.com,0.561819129696806
alec.org,20.0,22382102.0,441.0,44005756.0,alec.org,0.613601275347775
aledotimesrecord.com,4.0,22382102.0,2.0,44005756.0,aledotimesrecord.com,0.692349135023268
aleteia.org,445.0,22382102.0,1959.0,44005756.0,aleteia.org,0.582671332675006
alexcityoutlook.com,18.0,22382102.0,6.0,44005756.0,alexcityoutlook.com,0.529976148116455
algemeiner.com,571.0,22382102.0,1079.0,44005756.0,algemeiner.com,0.772922744600069
alicetx.com,12.0,22382102.0,6.0,44005756.0,alicetx.com,0.757287428677093
aljazeera.com,25117.0,22382102.0,67784.0,44005756.0,aljazeera.com,0.779267503219657
all-in.de,6.0,22382102.0,4.0,44005756.0,all-in.de,0.683696910553595
allafrica.com,3335.0,22382102.0,7369.0,44005756.0,allafrica.com,0.871165064239559
allenbwest.com,3.0,22382102.0,0.0,0.0,allenbwest.com,0.647719306914773
allfortennessee.com,41.0,22382102.0,28.0,44005756.0,allfortennessee.com,0.560443357172838
allgemeine-zeitung.de,33.0,22382102.0,43.0,44005756.0,allgemeine-zeitung.de,0.515502479905582
allgov.com,165.0,22382102.0,388.0,44005756.0,allgov.com,0.816946216297037
allianceforscience.cornell.edu,18.0,22382102.0,4.0,44005756.0,allianceforscience.cornell.edu,0.889233302724882
alliednews.com,2.0,22382102.0,13.0,44005756.0,alliednews.com,0.585000882701781
allodocteurs.fr,1.0,22382102.0,5.0,44005756.0,allodocteurs.fr,0.583593904823466
allsides.com,8.0,22382102.0,1225.0,44005756.0,allsides.com,0.715840815865667
allthatsfab.com,1.0,22382102.0,0.0,0.0,allthatsfab.com,0.533264790206073
allthatsinteresting.com,349.0,22382102.0,3170.0,44005756.0,allthatsinteresting.com,0.676772122938108
allucanheat.com,9.0,22382102.0,5.0,44005756.0,allucanheat.com,0.73394688502581
almanar.com.lb,56.0,22382102.0,1.0,44005756.0,almanar.com.lb,0.482635749254902
almasdarnews.com,1721.0,22382102.0,0.0,0.0,almasdarnews.com,0.342098805028891
alnas.fr,1.0,22382102.0,0.0,0.0,alnas.fr,0.576747346511741
alohastatenews.com,0.0,0.0,4.0,44005756.0,alohastatenews.com,0.353498595416401
alphanews.org,1.0,22382102.0,93.0,44005756.0,alphanews.org,0.377648857884339
alphanewsmn.com,1.0,22382102.0,0.0,0.0,alphanewsmn.com,0.249654553943354
alreporter.com,186.0,22382102.0,476.0,44005756.0,alreporter.com,0.871165064239559
alt-market.com,1.0,22382102.0,0.0,0.0,alt-market.com,0.259783682717
alternatives-economiques.fr,9.0,22382102.0,34.0,44005756.0,alternatives-economiques.fr,0.534807334572242
alternet.org,280.0,22382102.0,179.0,44005756.0,alternet.org,0.42818441506045
althealthworks.com,0.0,0.0,1.0,44005756.0,althealthworks.com,0.180247427979306
altnews.in,93.0,22382102.0,177.0,44005756.0,altnews.in,0.697973891737846
altoadige.it,18.0,22382102.0,27.0,44005756.0,altoadige.it,0.536579946611484
altoday.com,31.0,22382102.0,8.0,44005756.0,altoday.com,0.905338413950405
altoonamirror.com,119.0,22382102.0,186.0,44005756.0,altoonamirror.com,0.517221850950033
altoonatimes.com,0.0,0.0,4.0,44005756.0,altoonatimes.com,0.646051965195543
altright.com,8.0,22382102.0,1.0,44005756.0,altright.com,0.255246480229909
alz.org,55.0,22382102.0,181.0,44005756.0,alz.org,0.661688780834392
ama-assn.org,356.0,22382102.0,1288.0,44005756.0,ama-assn.org,0.900363583651724
amac.us,3.0,22382102.0,83.0,44005756.0,amac.us,0.458652962199397
amarillo.com,375.0,22382102.0,274.0,44005756.0,amarillo.com,0.879334607656032
amarillogazette.com,0.0,0.0,4.0,44005756.0,amarillogazette.com,0.452862333452465
ambientebio.it,1.0,22382102.0,0.0,0.0,ambientebio.it,0.329745071743824
ameli.fr,4.0,22382102.0,17.0,44005756.0,ameli.fr,0.668463260544167
america.cgtn.com,0.0,0.0,2.0,44005756.0,america.cgtn.com,0.18458363709715
americablog.com,6.0,22382102.0,0.0,0.0,americablog.com,0.575569655769467
americafirstpolicy.com,7.0,22382102.0,864.0,44005756.0,americafirstpolicy.com,0.430883499605862
americamagazine.org,862.0,22382102.0,3249.0,44005756.0,americamagazine.org,0.804559768523178
americanactionforum.org,22.0,22382102.0,686.0,44005756.0,americanactionforum.org,0.777473379039915
americanaffairsjournal.org,31.0,22382102.0,988.0,44005756.0,americanaffairsjournal.org,0.791230028033304
americanbridgepac.org,2.0,22382102.0,67.0,44005756.0,americanbridgepac.org,0.613601275347775
americancatholictribune.com,0.0,0.0,1.0,44005756.0,americancatholictribune.com,0.694950827276485
americanexperiment.org,9.0,22382102.0,630.0,44005756.0,americanexperiment.org,0.646719313190752
americanfirearms.org,6.0,22382102.0,27.0,44005756.0,americanfirearms.org,0.817161655737761
americanfreepress.net,3.0,22382102.0,5.0,44005756.0,americanfreepress.net,0.163311627335997
americanheritage.com,834.0,22382102.0,3523.0,44005756.0,americanheritage.com,0.871165064239559
americanimmigrationcouncil.org,141.0,22382102.0,1485.0,44005756.0,americanimmigrationcouncil.org,0.799649853780606
americanindependent.com,21.0,22382102.0,0.0,0.0,americanindependent.com,0.602004416483487
americanlibertyreport.com,1.0,22382102.0,0.0,0.0,americanlibertyreport.com,0.481134511542231
americanmilitarynews.com,105.0,22382102.0,8.0,44005756.0,americanmilitarynews.com,0.805551571623199
americanmind.org,30.0,22382102.0,219.0,44005756.0,americanmind.org,0.634429491092725
americanoversight.org,10.0,22382102.0,155.0,44005756.0,americanoversight.org,0.624701051181137
americanpartisan.org,0.0,0.0,2.0,44005756.0,americanpartisan.org,0.64546911221104
americanpregnancy.org,50.0,22382102.0,65.0,44005756.0,americanpregnancy.org,0.608135928856608
americanpress.com,42.0,22382102.0,130.0,44005756.0,americanpress.com,0.613283742491838
americanpressinstitute.org,10.0,22382102.0,50.0,44005756.0,americanpressinstitute.org,0.910055955606308
americanprinciplesproject.org,10.0,22382102.0,15.0,44005756.0,americanprinciplesproject.org,0.236491354728934
americanprogress.org,366.0,22382102.0,3306.0,44005756.0,americanprogress.org,0.634607511265322
americanpurpose.com,9.0,22382102.0,0.0,0.0,americanpurpose.com,0.648664410495376
americanscientist.org,271.0,22382102.0,1345.0,44005756.0,americanscientist.org,0.950370235542603
americansforprosperity.org,40.0,22382102.0,230.0,44005756.0,americansforprosperity.org,0.554815478931029
americansfortruth.com,1.0,22382102.0,5.0,44005756.0,americansfortruth.com,0.159495405405394
americanthinker.com,9.0,22382102.0,88.0,44005756.0,americanthinker.com,0.152499978555631
americaoutloud.com,2.0,22382102.0,0.0,0.0,americaoutloud.com,0.565965100267441
americarisingpac.org,0.0,0.0,2.0,44005756.0,americarisingpac.org,0.613601275347775
americasfrontlinedoctors.org,1.0,22382102.0,10.0,44005756.0,americasfrontlinedoctors.org,0.2998002024985
americasquarterly.org,289.0,22382102.0,2657.0,44005756.0,americasquarterly.org,0.84101232138613
americasvoice.news,6.0,22382102.0,12.0,44005756.0,americasvoice.news,0.486253357803564
americasvoice.org,9.0,22382102.0,15.0,44005756.0,americasvoice.org,0.467960220603466
americustimesrecorder.com,7.0,22382102.0,41.0,44005756.0,americustimesrecorder.com,0.566361199291827
amestoday.com,0.0,0.0,4.0,44005756.0,amestoday.com,0.365580556328979
amestrib.com,80.0,22382102.0,99.0,44005756.0,amestrib.com,0.740033629885356
amg-news.com,0.0,0.0,6.0,44005756.0,amg-news.com,0.37885229613669
