Title,Domain
Procedia Computer Science,www.journals.elsevier.com
BioMed Research International,www.hindawi.com
Frontiers in Plant Science,journal.frontiersin.org
Journal of Clinical Medicine,www.mdpi.com
Brazilian Journal of Development,www.brjd.com.br
Energy Procedia,www.sciencedirect.com
Innovation in Aging,academic.oup.com
International Journal of Current Microbiology and Applied Sciences,www.ijcmas.com
Frontiers in Oncology,www.frontiersin.org
Cancers,www.mdpi.com
IFAC-PapersOnLine,www.journals.elsevier.com
International Journal for Research in Applied Science and Engineering Technology,www.ijraset.com
BMC Public Health,link.springer.com
European Journal of Public Health,eurpub.oxfordjournals.org
Open Forum Infectious Diseases,academic.oup.com
Seibutsu Butsuri,www.jstage.jst.go.jp
Water Resources Research,agupubs.onlinelibrary.wiley.com
The EMBO Journal,emboj.embopress.org
EPJ Web of Conferences,www.epj-conferences.org
Mathematical Problems in Engineering,www.hindawi.com
Polymers,www.mdpi.com
Canadian Medical Association Journal,www.cmaj.ca
Water,www.mdpi.com
Tetsu-to-Hagane,tetsutohagane.net
Nihon Naika Gakkai Zasshi,www.jstage.jst.go.jp
Frontiers in Pharmacology,journal.frontiersin.org
Journal of Geography (Chigaku Zasshi),www.jstage.jst.go.jp
The American Biology Teacher,abt.ucpress.edu
ACS Omega,pubs.acs.org
Geophysical Journal International,gji.oxfordjournals.org
Kazan medical journal,journals.eco-vector.com
Critical Care,ccforum.biomedcentral.com
Computer Engineering and Applications Journal,comengapp.com
Bioinformatics,bioinformatics.oxfordjournals.org
International Journal of Infectious Diseases,www.journals.elsevier.com
EP Europace,europace.oxfordjournals.org
NIPPON SUISAN GAKKAISHI,www.jstage.jst.go.jp
"Acta chemica Scandinavica/Acta chemica Scandinavica. B, Organic chemistry and biochemistry/Acta chemica Scandinavica. A, Physical and inorganic chemistry/Acta chemica Scandinavica. Series B. Organic chemistry and biochemistry/Acta chemica Scandinavica. Series A, Physical and inorganic chemistry",actachemscand.dk
Nanomaterials,www.mdpi.com
Biomedicine & Pharmacotherapy,www.journals.elsevier.com
Heliyon,www.sciencedirect.com
Frontiers in Physiology,frontiersin.org
BMC Genomics,bmcgenomics.biomedcentral.com
International Journal of Clinical Practice,onlinelibrary.wiley.com
Internal Medicine,www.naika.or.jp
The European Physical Journal C,link.springer.com
European Journal of Cancer Supplements,www.journals.elsevier.com
LWT,www.sciencedirect.com
Indian Journal of Science and Technology,www.ijst.org
PeerJ,www.peerj.com
BMC Cancer,www.biomedcentral.com
Frontiers in Neuroscience,www.frontiersin.org
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,www.jcdr.net
Nippon Jibiinkoka Gakkai Kaiho,www.jstage.jst.go.jp
eLife,elifesciences.org
Tidsskrift for Den norske legeforening,tidsskriftet.no
Ecotoxicology and Environmental Safety,www.journals.elsevier.com
JOURNAL OF INDIAN AND BUDDHIST STUDIES (INDOGAKU BUKKYOGAKU KENKYU),www.jstage.jst.go.jp
Mathematics,www.mdpi.com
Chemical Science,www.rsc.org
Journal of the Japan Institute of Metals and Materials,www.jim.or.jp
Cells,www.mdpi.com
Electronics,www.mdpi.com
Orthopedics & Traumatology,www.jstage.jst.go.jp
Oncology Letters,www.spandidos-publications.com
AIP Advances,aip.scitation.org
Journal of Evolution of Medical and Dental Sciences,www.jemds.com
Materials Research Express,iopscience.iop.org
Frontiers in Genetics,journal.frontiersin.org
Emerging infectious diseases,www.cdc.gov
Frontiers in Neurology,frontiersin.org
Atmospheric chemistry and physics,www.atmospheric-chemistry-and-physics.net
AFRICAN JOURNAL OF BIOTECHNOLOGY,www.ajol.info
Journal of Pharmacognosy and Phytochemistry,www.phytojournal.com
Journal of Mechanical Engineering,www.cjmenet.com.cn
ISEE Conference Abstracts,ehp03.niehs.nih.gov
"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",www.isprs.org
JOURNAL OF THE ILLUMINATING ENGINEERING INSTITUTE OF JAPAN,www.jstage.jst.go.jp
New Journal of Physics,iopscience.iop.org
Industrial Crops and Products,www.journals.elsevier.com
Evidence-based Complementary and Alternative Medicine,www.hindawi.com
Animals,www.mdpi.com
Acta Physica Polonica A,www.ifpan.edu.pl
Guangdong nongye kexue,gdnykx.cnjournals.org
Frontiers in Public Health,journal.frontiersin.org
Nippon Nōgeikagaku Kaishi,www.jstage.jst.go.jp
BMC Health Services Research,www.biomedcentral.com
AUDIOLOGY JAPAN,www.jstage.jst.go.jp
Journal of Lipid Research,www.sciencedirect.com
Environment International,www.journals.elsevier.com
Foods,www.mdpi.com
Journal of Food Protection,www.sciencedirect.com
Parasitology,www.cambridge.org
Viruses,www.mdpi.com
Frontiers in Human Neuroscience,www.frontiersin.org
Experimental and Therapeutic Medicine,www.spandidos-publications.com
Cell Reports,www.sciencedirect.com
BMC Bioinformatics,www.biomedcentral.com
Acta Neurologica Scandinavica,onlinelibrary.wiley.com
The Tohoku Journal of Experimental Medicine,www.jstage.jst.go.jp
BMC Infectious Diseases,link.springer.com
International Journal of Recent Technology and Engineering (IJRTE),www.ijrte.org
International Journal of Innovative Technology and Exploring Engineering,www.ijitee.org
Frontiers in Endocrinology,www.frontiersin.org
Procedia CIRP,www.journals.elsevier.com
Symmetry,www.mdpi.com
Frontiers in Psychiatry,frontiersin.org
F1000Research,f1000research.com
Brain Research Bulletin,www.journals.elsevier.com
Plants,www.mdpi.com
Entropy,www.mdpi.com
Wirtschaftsdienst,www.wirtschaftsdienst.eu
The Journal of the Korea Contents Association,www.koreacontents.or.kr
Science Advances,www.science.org
Pharmacological Research,www.journals.elsevier.com
PLoS neglected tropical diseases,www.plosntds.org
Genomics,www.journals.elsevier.com
Geoderma,www.journals.elsevier.com
The Scientific World JOURNAL,www.tswj.com
Biological and Pharmaceutical Bulletin,bpb.pharm.or.jp
Computer Science,www.csci.agh.edu.pl
Agronomy,www.mdpi.com
Frontiers in Marine Science,www.frontiersin.org
PLoS Genetics,www.plosgenetics.org
Metals,www.mdpi.com
Frontiers in Bioengineering and Biotechnology,www.frontiersin.org
IEICE Transactions on Information and Systems,ietisy.oxfordjournals.org
Journal of Medical Science And clinical Research,jmscr.igmpublication.org
PLoS Pathogens,www.plospathogens.org
Asian Journal of Chemistry,www.asianjournalofchemistry.com
Ecological Indicators,www.journals.elsevier.com
The Forestry Chronicle,pubs.cif-ifc.org
PLoS Computational Biology,journals.plos.org
Zeitschrift für Kristallographie - New Crystal Structures,www.degruyter.com
Journal of Obstetrics and Gynaecology,www.informahealthcare.com
Frontiers in Medicine,www.frontiersin.org
Ecology and Evolution,onlinelibrary.wiley.com
Anales de Pediatría,www.journals.elsevier.com
Materials & Design,www.journals.elsevier.com
Analytical Sciences,www.springer.com
SHS Web of Conferences,www.shs-conferences.org
International Journal of Energy Research,onlinelibrary.wiley.com
Journal of Veterinary Medical Science,www.jstage.jst.go.jp
Frontiers in Cell and Developmental Biology,www.frontiersin.org
Current Science,www.currentscience.ac.in
Journal of the Endocrine Society,academic.oup.com
EDIS,journals.flvc.org
The Japanese Journal of Ergonomics,www.jstage.jst.go.jp
Archives of Pathology & Laboratory Medicine,www.archivesofpathology.org
Forests,www.mdpi.com
Trials,trialsjournal.biomedcentral.com
Genes,www.mdpi.com
Journal of the Meteorological Society of Japan Ser II,www.jstage.jst.go.jp
International Journal of Academic Research in Business and Social Sciences,www.hrmars.com
Arquivos de Neuro-Psiquiatria,web.thieme.com
Processes,www.mdpi.com
European Journal of Neurology,onlinelibrary.wiley.com
Pan African Medical Journal,panafrican-med-journal.com
ICES Journal of Marine Science,icesjms.oxfordjournals.org
Journal of Functional Biomaterials,www.mdpi.com
Plastic & Reconstructive Surgery Global Open,www.prsgo.com
Kanzo,www.jstage.jst.go.jp
Clinical Cardiology,onlinelibrary.wiley.com
Pesquisa Agropecuária Brasileira,www.scielo.br
Microorganisms,www.mdpi.com
International Journal of Advanced Computer Science and Applications,thesai.org
The Journal of General Physiology,jgp.rupress.org
Journal of Glaciology,www.cambridge.org
Data in Brief,www.journals.elsevier.com
IMF country report,www.imf.org
Eastern-European Journal of Enterprise Technologies,journals.uran.ua
Journal of International Medical Research,us.sagepub.com
Aquaculture Research,onlinelibrary.wiley.com
Epidemiology and Infection,journals.cambridge.org
Neurologia medico-chirurgica,jns.umin.ac.jp
Journal of the American Society for Horticultural Science,journal.ashspublications.org
ISIJ International,www.isijint.net
The Breast,www.elsevier.com
BMC Research Notes,bmcresnotes.biomedcentral.com
Cell Death and Disease,www.nature.com
Pharmaceutics,www.mdpi.com
Actas Dermo-Sifiliográficas,www.journals.elsevier.com
The Astrophysical Journal Letters,iopscience.iop.org
Annals of Translational Medicine,www.atmjournal.org
Cadernos de Saúde Pública,www.scielo.br
College & Research Libraries News,crln.acrl.org
Journal of Turkish Studies,turkishstudies.net
Transplant International,onlinelibrary.wiley.com
Diagnostics,www.mdpi.com
Ciência Rural,www.scielo.br
Archéologie médiévale,journals.openedition.org
European Journal of Pharmaceutical Sciences,www.journals.elsevier.com
Zhongguo quanke yixue,www.chinagp.net
Journal of History,www.utpjournals.com
International Journal of Pharmaceutical Sciences and Research,www.ijpsr.com
Molecular Biology and Evolution,mbe.oxfordjournals.org
Fuel Processing Technology,www.journals.elsevier.com
Genes & Development,genesdev.cshlp.org
International Journal of Research,internationaljournalofresearch.com
Przegląd Geologiczny,www.pgi.gov.pl
Circulation Journal,www.jstage.jst.go.jp
Asian Pacific Journal of Cancer Prevention,journal.waocp.org
Atmosphere,www.mdpi.com
BMC Musculoskeletal Disorders,bmcmusculoskeletdisord.biomedcentral.com
The Journal of the Geological Society of Japan,www.jstage.jst.go.jp
Journal of the Korean Surgical Society,thesurgery.or.kr
Micromachines,www.mdpi.com
Nippon kagaku zassi,www.jstage.jst.go.jp
Pramana,www.springer.com
Journal of the American Heart Association,www.ahajournals.org
JAMA Network Open,jamanetwork.com
Virus Research,www.journals.elsevier.com
International Journal of Surgery Case Reports,www.journals.elsevier.com
The Korean Journal of Internal Medicine,www.kjim.org
The Indian Journal of Animal Sciences,epubs.icar.org.in
Rock and Soil Mechanics,rocksoilmech.whrsm.ac.cn
Journal of Thoracic Disease,www.jthoracdis.com
Catalysts,www.mdpi.com
Agricultural Water Management,www.journals.elsevier.com
Journal of Cardiac Surgery,onlinelibrary.wiley.com
Journal of Cellular and Molecular Medicine,www.wiley.com
IMF Working Paper,www.imf.org
JAPANES JOURNAL OF MEDICAL INSTRUMENTATION,www.jstage.jst.go.jp
Indian Journal of Ophthalmology,www.ijo.in
Antioxidants,www.mdpi.com
Cleveland Clinic Journal of Medicine,www.mdedge.com
Journal of Critical Reviews,www.innovareacademics.in
International Journal of Reproduction Contraception Obstetrics and Gynecology,www.ijrcog.org
Cellular and Molecular Life Sciences,www.springer.com
EFSA Journal,efsa.onlinelibrary.wiley.com
Human Mutation,onlinelibrary.wiley.com
Electrochemistry Communications,www.journals.elsevier.com
Malaria Journal,link.springer.com
Frontiers in Cardiovascular Medicine,www.frontiersin.org
Biomolecules,www.mdpi.com
TRENDS IN THE SCIENCES,www.jstage.jst.go.jp
Journal of the Japan Veterinary Medical Association,nichiju.lin.gr.jp
College & Research Libraries,crl.acrl.org
Obstetrics & Gynecology Science,ogscience.org
Journal of Medical Internet Research,www.jmir.org
Journal of Entomology and Zoology Studies,www.entomoljournal.com
Haematologica,www.haematologica.org
AIJ Journal of Technology and Design,www.jstage.jst.go.jp
Ear Nose & Throat Journal,us.sagepub.com
Chinese Medical Journal,www.cmj.org
Public Health Nutrition,journals.cambridge.org
Japanese Journal of Neurosurgery,www.jcns-online.jp
Scientific Programming,www.hindawi.com
Journal of Veterinary Internal Medicine,onlinelibrary.wiley.com
ACTA AGRONOMICA SINICA,zwxb.chinacrops.org
International Journal of Research in Medical Sciences,www.msjonline.org
Journal of Digital Convergence,policy.or.kr
Journal of Korean Medical Science,www.jkms.org
BioTechniques,www.biotechniques.com
Tumor Biology,us.sagepub.com
Biomedicines,www.mdpi.com
BMGN - Low Countries Historical Review,www.bmgn-lchr.nl
Wireless Communications and Mobile Computing,www.hindawi.com
Coatings,www.mdpi.com
Frontiers in Pediatrics,journal.frontiersin.org
Experimental Gerontology,www.journals.elsevier.com
South African Medical Journal,www.samj.org.za
Journal of Food Processing and Preservation,onlinelibrary.wiley.com
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,www.jstage.jst.go.jp
Mitochondrial DNA Part B,www.tandfonline.com
Complexity,onlinelibrary.wiley.com
Oxidative Medicine and Cellular Longevity,www.hindawi.com
Kidney International Reports,www.journals.elsevier.com
Crystals,www.mdpi.com
The Astrophysical Journal Supplement Series,iopscience.iop.org
Swiss Medical Forum ‒ Schweizerisches Medizin-Forum,www.medicalforum.ch
Química Nova,quimicanova.sbq.org.br
Denki Kagaku oyobi Kogyo Butsuri Kagaku,www.jstage.jst.go.jp
Nihon Kessho Gakkaishi,www.jstage.jst.go.jp
International Journal of Trend in Scientific Research and Development,www.ijtsrd.com
Journal of Biomedical Optics,biomedicaloptics.spiedigitallibrary.org
Clinical Case Reports,onlinelibrary.wiley.com
Forum Médical Suisse ‒ Swiss Medical Forum,medicalforum.ch
Biomedical Journal of Scientific & Technical Research,biomedres.us
Frontiers in Cellular and Infection Microbiology,www.frontiersin.org
Medical Entomology and Zoology,ci.nii.ac.jp
International Journal of Engineering and Advanced Technology,www.ijeat.org
Pakistan Journal of Biological Sciences,www.ansinet.org
Catalysis Communications,www.journals.elsevier.com
Journal of Materials Research and Technology,www.journals.elsevier.com
Maandblad Voor Accountancy en Bedrijfseconomie,mab-online.nl
Current Developments in Nutrition,www.sciencedirect.com
Parasites & Vectors,www.parasitesandvectors.com
Clinical Medicine,www.rcplondon.ac.uk
The Indian Journal of Agricultural Sciences,www.icar.org.in
BioResources,bioresources.cnr.ncsu.edu
Frontiers in Veterinary Science,www.frontiersin.org
Environmental Research Letters,iopscience.org
Journal of Information Processing and Management,www.jstage.jst.go.jp
Brazilian Journal of Health Review,www.brjd.com.br
Andrologia,onlinelibrary.wiley.com
Oryx,www.cambridge.org
PLoS Biology,www.plosbiology.org
International Journal of Nanomedicine,www.dovepress.com
Transactions of Nonferrous Metals Society of China,www.journals.elsevier.com
Aging,www.ncbi.nlm.nih.gov
DEStech Transactions on Social Science Education and Human Science,dpi-proceedings.com
Omsk Scientific Bulletin,vestnik.omgtu.ru
Physics Procedia,www.sciencedirect.com
Healthcare,www.mdpi.com
Revue Forestière Française,revueforestierefrancaise.agroparistech.fr
Journal of Radiation Research,academic.oup.com
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,ieeexplore.ieee.org
Japanese Journal of Cardiovascular Surgery,www.jstage.jst.go.jp
Arquivos Brasileiros de Cardiologia,www.scielo.br
FEMS Microbiology Ecology,academic.oup.com
Polymer Testing,www.journals.elsevier.com
Cancer Science,onlinelibrary.wiley.com
Revista Brasileira de Enfermagem,www.scielo.br
Florida Entomologist,journals.flvc.org
Biologia Plantarum,dx.doi.org
The Iowa Review,iowareview.uiowa.edu
Journal of Cardiovascular Magnetic Resonance,link.springer.com
Journal of Evidence Based Medicine and Healthcare,jebmh.com
Annales Geophysicae,www.annales-geophysicae.net
ZooKeys,zookeys.pensoft.net
Minerals,www.mdpi.com
Genome Announcements,www.asmscience.org
Philosophy in Review,journals.uvic.ca
Medicina,www.mdpi.com
Asian-Australasian Journal of Animal Sciences,www.ajas.info
Brain stimulation,www.journals.elsevier.com
African Journal of Agricultural Research,www.academicjournals.org
Human Brain Mapping,onlinelibrary.wiley.com
Proceedings of the Japan Academy Series A Mathematical Sciences,projecteuclid.org
Eurosurveillance,www.eurosurveillance.org
Acta Psychologica,www.journals.elsevier.com
Japanese Journal of Physical Fitness and Sports Medicine,www.jstage.jst.go.jp
Abstracta Iranica,abstractairanica.revues.org
Frontiers in Chemistry,journal.frontiersin.org
iScience,www.sciencedirect.com
Advanced Materials Interfaces,onlinelibrary.wiley.com
Advanced Science,onlinelibrary.wiley.com
International Journal of Community Medicine and Public Health,www.ijcmph.com
Universum,universum.utalca.cl
Journal of Medical Case Reports,www.jmedicalcasereports.com
Procedia Manufacturing,www.journals.elsevier.com
Journal of Pharmaceutical Research International,www.sciencedomain.org
Against the grain,catalog.hathitrust.org
BMC Pregnancy and Childbirth,bmcpregnancychildbirth.biomedcentral.com
Comprehensive Psychiatry,www.journals.elsevier.com
Bulletin of the American Mathematical Society,www.ams.org
mBio,journals.asm.org
Natural Product Communications,us.sagepub.com
California Agriculture,californiaagriculture.ucanr.org
International Journal of Integrated Care,www.ijic.org
BSGF – Earth Sciences Bulletin,www.bsgf.fr
Nanoscale Research Letters,nanoscalereslett.springeropen.com
Orthopaedic Journal of Sports Medicine,us.sagepub.com
Cellular Physiology and Biochemistry,www.cellphysiolbiochem.com
Electronic Notes in Theoretical Computer Science,www.elsevier.com
OncoTargets and Therapy,www.dovepress.com
Journal of Japan Institute of Light Metals,www.jstage.jst.go.jp
Ultrasonics Sonochemistry,www.journals.elsevier.com
Clinical ophthalmology,www.dovepress.com
Frontiers in Earth Science,www.frontiersin.org
BMC Psychiatry,bmcpsychiatry.biomedcentral.com
Journal of Marine Science and Engineering,www.mdpi.com
Revue d histoire de l Amérique française,www.ihaf.qc.ca
Journal of Environmental Conservation Engineering,www.jstage.jst.go.jp
The Journal of The Institute of Image Information and Television Engineers,www.jstage.jst.go.jp
Jurnal Teknologi,jurnalteknologi.utm.my
Frontiers in Nutrition,www.frontiersin.org
Acta Dermato Venereologica,medicaljournalssweden.se
Atención Primaria,www.journals.elsevier.com
EMBO Reports,embor.embopress.org
Journal of Materials Science Materials in Medicine,www.springer.com
Journal of the Brazilian Chemical Society,jbcs.sbq.org.br
Brain Sciences,www.mdpi.com
Journal of Software,bibpurl.oclc.org
Marine Drugs,www.mdpi.com
Toxins,www.mdpi.com
Revista da Sociedade Brasileira de Medicina Tropical,www.scielo.br
Transportation research procedia,www.journals.elsevier.com
Energy Reports,www.journals.elsevier.com
Arthritis Research & Therapy,arthritis-research.biomedcentral.com
Cancer Medicine,onlinelibrary.wiley.com
Asian Journal of Pharmaceutical and Clinical Research,innovareacademics.in
Anais Brasileiros de Dermatologia,www.journals.elsevier.com
ASHA Leader,leader.pubs.asha.org
HemaSphere,www.hemaspherejournal.com
Polish Journal of Environmental Studies,www.pjoes.com
Advances in Mechanical Engineering,us.sagepub.com
Korean Journal of Food Science and Technology,www.kjfst.or.kr
The Journal of Toxicological Sciences,www.jtoxsci.org
Results in Physics,www.journals.elsevier.com
Journal of Translational Medicine,translational-medicine.biomedcentral.com
Neurobiology of Disease,www.journals.elsevier.com
Frontiers in Aging Neuroscience,www.frontiersin.org
Vaccines,www.mdpi.com
Land,www.mdpi.com
The Oncologist,onlinelibrary.wiley.com
Revista de Saúde Pública,www.scielo.br
Cold Spring Harbor Symposia on Quantitative Biology,symposium.cshlp.org
Agriculture,www.mdpi.com
IEEE photonics journal,ieeexplore.ieee.org
Bioscience Reports,www.bioscirep.org
International Journal of Science and Research (IJSR),www.ijsr.net
Journal for ImmunoTherapy of Cancer,jitc.bmj.com
Frontiers in Cellular Neuroscience,www.frontiersin.org
Journal of Nanomaterials,www.hindawi.com
Bulletin de l Académie vétérinaire de France,www.academie-veterinaire-defrance.org
Comptes Rendus Mathématique,www.sciencedirect.com
Geochemistry Geophysics Geosystems,onlinelibrary.wiley.com
Antibiotics,www.mdpi.com
Semina Ciências Agrárias,www.uel.br
HTS Teologiese Studies / Theological Studies,www.hts.org.za
Shock and Vibration,www.hindawi.com
BMC Plant Biology,link.springer.com
Progress in Plant Protection,www.progress.plantprotection.pl
iPolytech Journal,journals.istu.edu
American Journal of Veterinary Research,avmajournals.avma.org
ACTA HISTOCHEMICA ET CYTOCHEMICA,www.ncbi.nlm.nih.gov
Annals of Glaciology,www.cambridge.org
Bulletin of the World Health Organization,www.who.int
DEStech Transactions on Computer Science and Engineering,dpi-proceedings.com
Canadian Family Physician,www.cfp.ca
Indonesian Journal of Electrical Engineering and Computer Science,iaesjournal.com
Pathogens,www.mdpi.com
International Surgery Journal,www.ijsurgery.com
Immunobiology,www.journals.elsevier.com
Open Access Macedonian Journal of Medical Sciences,www.id-press.eu
Advances in Materials Science and Engineering,www.hindawi.com
Власть,jour.isras.ru
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,www.scielo.br
Hereditas,link.springer.com
Annals of Medicine and Surgery,www.sciencedirect.com
Abstract and Applied Analysis,www.hindawi.com
Seikei-Kakou,www.jstage.jst.go.jp
Revista Brasileira de Zootecnia,www.scielo.br
Functional Ecology,www.functionalecology.org
Journal of Family Medicine and Primary Care,www.jfmpc.com
Life,www.mdpi.com
Biogeosciences,www.biogeosciences.net
Schweizerische medizinische Wochenschrift,www.smw.ch
Journal of the Atomic Energy Society of Japan / Atomic Energy Society of Japan,www.aesj.or.jp
Religions,www.mdpi.com
Journal of Functional Foods,www.journals.elsevier.com
Infection Genetics and Evolution,www.elsevier.com
Informes de la Construcción,informesdelaconstruccion.revistas.csic.es
Experimental Physiology,physoc.onlinelibrary.wiley.com
Human Vaccines & Immunotherapeutics,www.tandfonline.com
Revista Latino-Americana de Enfermagem,www.scielo.br
International Journal of Mathematics and Mathematical Sciences,www.hindawi.com
Molecular & Cellular Proteomics,www.sciencedirect.com
Asian Social Science,epe.lac-bac.gc.ca
SN Applied Sciences,www.springer.com
Thermal Science,thermalscience.vinca.rs
Computational Intelligence and Neuroscience,www.hindawi.com
Journal of International Social Research,www.sosyalarastirmalar.com
Oriental Journal Of Chemistry,www.orientjchem.org
Royal Society Open Science,royalsocietypublishing.org
Geographical Review of Japan,www.jstage.jst.go.jp
Kansenshogaku zasshi,journal.kansensho.or.jp
Folia Endocrinologica Japonica,www.jstage.jst.go.jp
Annals of Saudi Medicine,www.annsaudimed.net
The Professional Medical Journal,www.theprofesional.com
ChemElectroChem,onlinelibrary.wiley.com
Nature Precedings,link.springer.com
Ore Geology Reviews,www.journals.elsevier.com
Journal of Clinical Laboratory Analysis,onlinelibrary.wiley.com
BIO-PROTOCOL,www.bio-protocol.org
Hydrology and earth system sciences,www.hydrology-and-earth-system-sciences.net
Journal of Chemical Research,us.sagepub.com
Biomedical Optics Express,www.opticsinfobase.org
Yonsei Medical Journal,www.eymj.org
World Journal of Clinical Cases,bibpurl.oclc.org
IET Generation Transmission & Distribution,ietresearch.onlinelibrary.wiley.com
Bulletin of Science and Practice,www.bulletennauki.ru
Anais da Academia Brasileira de Ciências,www.scielo.br
PLoS Medicine,www.plosmedicine.org
Breast Cancer Research,link.springer.com
Physical Review Research,journals.aps.org
Gynecological Endocrinology,www.tandfonline.com
SAGE Open,us.sagepub.com
Mediators of Inflammation,www.hindawi.com
Translational Cancer Research,tcr.thepbpc.org
Pharmaceuticals,www.mdpi.com
Jornal de Pediatria,www.journals.elsevier.com
OALib,www.oalib.com
Journal of Applied Ichthyology,onlinelibrary.wiley.com
Brazilian Journal of Medical and Biological Research,www.scielo.br
Revista de Biología Tropical,revistas.ucr.ac.cr
BMC Medical Education,bmcmededuc.biomedcentral.com
Journal of Inequalities and Applications,link.springer.com
Journal of Korean Neurosurgical Society,www.jkns.or.kr
Security and Communication Networks,www.hindawi.com
Buildings,www.mdpi.com
African Journal of Microbiology Research,www.academicjournals.org
BMC Microbiology,bmcmicrobiol.biomedcentral.com
Dermatologic Therapy,onlinelibrary.wiley.com
Nihon Daicho Komonbyo Gakkai Zasshi,www.jstage.jst.go.jp
BMC Geriatrics,link.springer.com
New Biotechnology,www.elsevier.com
American Journal of Pharmaceutical Education,www.sciencedirect.com
Acta Physica Polonica B,th-www.if.uj.edu.pl
IET Communications,ietresearch.onlinelibrary.wiley.com
Frontiers in Environmental Science,www.frontiersin.org
Chemical engineering transactions,www.cetjournal.it
Revista da Escola de Enfermagem da USP,www.scielo.br
DEStech Transactions on Engineering and Technology Research,dpi-proceedings.com
Journal of Physical Therapy Science,www.ktf.franko.lviv.ua
Journal of Education and Practice,iiste.org
Tellus A Dynamic Meteorology and Oceanography,www.tellusa.net
Bijdragen tot de taal- land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia,booksandjournals.brillonline.com
BMC Pediatrics,link.springer.com
Renal Failure,www.tandfonline.com
animal,www.journals.elsevier.com
Advances in Difference Equations,www.hindawi.com
Proceedings,www.mdpi.com
Cell Transplantation,us.sagepub.com
European Urology Open Science,www.journals.elsevier.com
Indian Journal of Dermatology Venereology and Leprology,www.ijdvl.com
Experimental and Molecular Pathology,www.journals.elsevier.com
Cancer Biology & Therapy,www.tandfonline.com
International Journal of Scientific Research in Science Engineering and Technology,www.ijsrset.com
South African Family Practice,safpj.co.za
Discrete and Continuous Dynamical Systems,aimsciences.org
Meditsinskiy sovet = Medical Council,www.med-sovet.pro
Advances in Civil Engineering,www.hindawi.com
BMC Neuroscience,bmcneurosci.biomedcentral.com
Fiep Bulletin - online,www.fiepbulletin.net
Journal of Tropical Medicine,www.hindawi.com
Neurosurgical FOCUS,thejns.org
Biology,www.mdpi.com
Dermatology Online Journal,dermatology.cdlib.org
ARKIVOC,www.arkat-usa.org
Psyche A Journal of Entomology,www.hindawi.com
Communications Biology,www.nature.com
Food Science and Technology,www.scielo.br
Children,www.mdpi.com
Insects,www.mdpi.com
Journal of Clinical Hypertension,onlinelibrary.wiley.com
CHIMIA International Journal for Chemistry,chimia.ch
International Journal of Innovative Research in Science Engineering and Technology,www.ijirset.com
The Annals of Mathematical Statistics,projecteuclid.org
